source,language,trad_secular_score,surv_selfexp_score,n_inglehart_questions
earth,bengali,0.0847,3.0943,13
earth,hindi,1.0957,3.6387,13
earth,marathi,1.4742,4.1746,13
earth,punjabi,2.4969,3.3493,13
earth,telugu,1.7653,3.0899,13
fire,bengali,0.8942,2.6881,13
fire,hindi,0.5896,2.1578,13
fire,marathi,1.277,3.9832,13
fire,punjabi,3.2687,3.1899,13
fire,telugu,1.5544,2.4673,13
global,bengali,-1.0097,4.4732,13
global,hindi,-0.8869,3.6818,13
global,marathi,-1.3283,4.1077,13
global,punjabi,-0.0164,4.4961,13
global,telugu,-0.0675,3.9125,13
human,hindi,-0.2202,-0.08,13
human,telugu,0.0622,0.7617,13
human,marathi,0.6016,0.5082,13
human,bengali,0.0267,-1.3608,13
human,punjabi,0.6299,0.2511,13
